epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2834.37,1.06706,1.45188,1.31815,0.69209,0.52917,0.59603,0.4134,1.16796,1.82058,1.45122,9.78764e-05,9.78764e-05,9.78764e-05
2,5865.49,1.04409,1.36092,1.3018,0.69483,0.53062,0.58313,0.40589,1.1563,1.87101,1.43957,0.000171637,0.000171637,0.000171637
3,9227.08,1.02336,1.31196,1.28802,0.6861,0.57789,0.62728,0.41537,1.24059,1.64825,1.46746,0.000221142,0.000221142,0.000221142
4,12660.9,1.00416,1.23795,1.27406,0.67523,0.58015,0.63006,0.42,1.24185,1.64073,1.49132,0.000184853,0.000184853,0.000184853
5,15830,0.97229,1.16176,1.25303,0.67435,0.58031,0.63344,0.43684,1.17087,1.56592,1.42546,0.00014847,0.00014847,0.00014847
6,19008,0.93721,1.08661,1.23161,0.70276,0.58687,0.65321,0.46186,1.11364,1.49141,1.37889,0.000112087,0.000112087,0.000112087
7,22252.1,0.90858,1.02791,1.21217,0.67598,0.61054,0.66327,0.46932,1.11565,1.44445,1.38103,7.5705e-05,7.5705e-05,7.5705e-05
8,25311,0.88512,0.98102,1.19766,0.69284,0.62177,0.67142,0.47844,1.09963,1.42676,1.36273,3.93225e-05,3.93225e-05,3.93225e-05
