epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3027.83,1.32916,3.58111,1.70474,0.56169,0.30138,0.33528,0.22397,1.17441,2.90582,1.4954,9.78764e-05,9.78764e-05,9.78764e-05
2,5926.61,1.18116,2.44403,1.52543,0.5299,0.45097,0.46494,0.31109,1.19595,2.43625,1.49092,0.000176485,0.000176485,0.000176485
3,8986.54,1.10698,2.00287,1.4421,0.57747,0.48351,0.5243,0.35765,1.16101,2.16746,1.44255,0.000235689,0.000235689,0.000235689
4,12170.2,1.0517,1.69553,1.38519,0.66963,0.48117,0.53536,0.35421,1.24102,2.07291,1.47531,0.000206682,0.000206682,0.000206682
5,15037.7,1.00124,1.45955,1.33813,0.65311,0.54798,0.58781,0.40574,1.13077,1.79801,1.4015,0.000177576,0.000177576,0.000177576
6,17897.1,0.957,1.30949,1.30653,0.69188,0.52817,0.59202,0.41394,1.15747,1.82269,1.4115,0.00014847,0.00014847,0.00014847
